linecode_id,linecode_name,A_p_true,dist_true
4,hydrogen,"[143.1388, 143.1388, 143.1388, 143.1388]", "[650, 1550, 900, 2200, 1550, 650]"
1,pluto,"[277.5911, 277.5911, 277.5911, 277.5911]","[650, 1550, 900, 2200, 1550, 650]"
10,tw2x16_lv_oh_2w_bundled,"[15.2745, 15.2745]", "[7.01]"
7,abc2x16_lv_oh_2w_bundled,"[18.8574, 18.8574]", "[7.5]"
11,uglv_240al_xlpe/nyl/pvc_ug_4w_bundled,"[265.9044, 265.9044, 265.9044, 265.9044]", "[26.8, 26.8, 37.9, 37.9, 26.8, 26.8]"
9,uglv_185al_xlpe/nyl/pvc_ug_2w_bundled,"[216.4243, 216.4243]","[24.6]"
8,ugsc_16al_xlpe/pvc_ug_2w_bundled,"[18.0956, 18.0956]", "[9.0]"
5,ugsc_25cu_xlpe/nyl/pvc_ug_2w_bundled,"[28.2743, 28.2743]", "[12.2]"
2,uglv_120cu_xlpe/nyl/pvc_ug_4w_bundled,"[141.0261, 141.0261, 141.0261, 141.0261]", "[20.4, 20.4, 28.85, 28.85, 20.4, 20.4]"
3,ugsc_16cu_xlpe/nyl/pvc_ug_2w_bundled,"[18.0956, 18.0956]", "[10.6]"